"Address","¤u¼t¦WºÙ","¤u¼tµn°O½s¸¹","¤u¼t³]¥ß³\¥i®×¸¹","¤u¼t¦a§}","¤u¼t¥«Âí¶m§ø¨½","¤u¼t­t³d¤H©m¦W","¤½¥q.Àç§Q¨Æ·~.²Î¤@½s¸¹","¤u¼t²ÕÂ´«¬ºA","¤u¼t³]¥ß®Ö­ã¤é´Á","¤u¼tµn°O®Ö­ã¤é´Á","¤u¼tµn°Oª¬ºA","²£·~Ãþ§O","¥D­n²£«~","Response_Address","Response_X","Response_Y"
"®ç¶é¥«·¨±ö°Ï°ª¤s¨½¤­¾F°ª«C¸ô¤T¤G«Ñ¤@¤»¸¹","¥°¹©°ê»Ú¥Íª«ªÑ¥÷¦³­­¤½¥q·¨±ö¼t","99629879",8510000408579,"®ç¶é¥«·¨±ö°Ï°ª¤s¨½¤­¾F°ª«C¸ô¤T¤G«Ñ¤@¤»¸¹","®ç¶é¥«·¨±ö°Ï°ª¤s¨½","®}¤ô®x¡@¡@¡@",84661525,"ªÑ¥÷¦³­­¤½¥q",850920,860414,"¥Í²£¤¤","23«Dª÷ÄÝÄqª«»s«~»s³y·~","234¥Û§÷»s«~",NA,NA,NA
"®ç¶é¥«·¨±ö°Ï°ª¤s¨½¤­¾F°ª·à¸ô¤K¤@¤T«Ñ¤G¡³¸¹","ÂX¯q¹ê·~ªÑ¥÷¦³­­¤½¥q·¨±ö¼t","99628340",8410000206278,"®ç¶é¥«·¨±ö°Ï°ª¤s¨½¤­¾F°ª·à¸ô¤K¤@¤T«Ñ¤G¡³¸¹","®ç¶é¥«·¨±ö°Ï°ª¤s¨½","°ª²M·Ë¡@¡@¡@",23685200,"ªÑ¥÷¦³­­¤½¥q",840606,850305,"¥Í²£¤¤","11¯¼Â´·~","112Â´¥¬","®ç¶é¥«·¨±ö°Ï°ª¤s¨½3¾F°ª·à¸ô85«Ñ1¤§1¸¹","121.149921","24.922985"
"®ç¶é¥«·¨±ö°Ï°ª¤s¨½¤­¾F°ª·à¸ô¤K¤@¤T«Ñ¤G¤K¤§¤@¸¹","¥þ¨Î¬ì§ÞªÑ¥÷¦³­­¤½¥q","99626358",8610000806670,"®ç¶é¥«·¨±ö°Ï°ª¤s¨½¤­¾F°ª·à¸ô¤K¤@¤T«Ñ¤G¤K¤§¤@¸¹","®ç¶é¥«·¨±ö°Ï°ª¤s¨½","§õ¨ZÎë¡@¡@¡@",45006900,"ªÑ¥÷¦³­­¤½¥q",860808,880501,"¥Í²£¤¤","29¾÷±ñ³]³Æ»s³y·~","291ª÷ÄÝ¥[¤u¥Î¾÷±ñ³]³Æ,293³q¥Î¾÷±ñ³]³Æ","®ç¶é¥«·¨±ö°Ï°ª¤s¨½3¾F°ª·à¸ô85«Ñ1¤§1¸¹","121.149921","24.922985"
"®ç¶é¥«·¨±ö°Ï°ª¤s¨½¤»¾F·à¤@¸ô¤@¤C¸¹","¹Åµo¹ê·~¤u¼tªÑ¥÷¦³­­¤½¥q¥®·à¤G¼t","99623171",7710000171009,"®ç¶é¥«·¨±ö°Ï°ª¤s¨½¤»¾F·à¤@¸ô¤@¤C¸¹","®ç¶é¥«·¨±ö°Ï","¾G¶®¤¯¡@¡@¡@",4457563,"ªÑ¥÷¦³­­¤½¥q",770119,781016,"¥Í²£¤¤","24°ò¥»ª÷ÄÝ»s³y·~","241¿ûÅK",NA,NA,NA
"®ç¶é¥«·¨±ö°Ï°ª¤s¨½¤Ü¤T¾F°ª«C¸ô¤G¤K«Ñ¤@¸¹","·s¿ñªFºë±KªÑ¥÷¦³­­¤½¥q","99624495",8810000811901,"®ç¶é¥«·¨±ö°Ï°ª¤s¨½¤Ü¤T¾F°ª«C¸ô¤G¤K«Ñ¤@¸¹","®ç¶é¥«·¨±ö°Ï°ª¤s¨½","·¨²ÐªF",86651683,"ªÑ¥÷¦³­­¤½¥q",881029,891212,"¥Í²£¤¤","25ª÷ÄÝ»s«~»s³y·~,29¾÷±ñ³]³Æ»s³y·~","253ª÷ÄÝ®e¾¹,254ª÷ÄÝ¥[¤u³B²z,293³q¥Î¾÷±ñ³]³Æ",NA,NA,NA
"®ç¶é¥«·¨±ö°Ï°ª¤s¨½¤Ü¤T¾F°ª«C¸ô¤Q«Ñ¤@¤@¸¹","²Î´­¿ûÅK¦³­­¤½¥q·¨±ö¼t","99629456",8610000802689,"®ç¶é¥«·¨±ö°Ï°ª¤s¨½¤Ü¤T¾F°ª«C¸ô¤Q«Ñ¤@¤@¸¹","®ç¶é¥«·¨±ö°Ï°ª¤s¨½","°ª¥Ã¡@¡@¡@¡@",97372907,"¦³­­¤½¥q",860331,891024,"¥Í²£¤¤","24°ò¥»ª÷ÄÝ»s³y·~","241¿ûÅK",NA,NA,NA
"®ç¶é¥«·¨±ö°Ï°ª¤s¨½¥®¤@¸ô11¸¹1¡B2¡B3¡B4¼Ó","´¹¿n¬ì§ÞªÑ¥÷¦³­­¤½¥q·¨±ö¼t","99621825",8810000922702,"®ç¶é¥«·¨±ö°Ï°ª¤s¨½¥®¤@¸ô11¸¹1¡B2¡B3¡B4¼Ó","®ç¶é¥«·¨±ö°Ï°ª¤s¨½","³¯­^¶i¡@¡@¡@",16038827,"ªÑ¥÷¦³­­¤½¥q",880315,880329,"¥Í²£¤¤","26¹q¤l¹s²Õ¥ó»s³y·~","264¥ú¹q§÷®Æ¤Î¤¸¥ó",NA,NA,NA
"®ç¶é¥«·¨±ö°Ï°ª¤s¨½¥®¤@¸ô¢·¸¹","¦a²yºî¦X¤u·~ªÑ¥÷¦³­­¤½¥q¥®·à¤G¼t","99623338",7610000118720,"®ç¶é¥«·¨±ö°Ï°ª¤s¨½¥®¤@¸ô¢·¸¹","®ç¶é¥«·¨±ö°Ï°ª¤s¨½","±i¼w·Ó",7147916,"ªÑ¥÷¦³­­¤½¥q",760327,780616,"¥Í²£¤¤","22¶ì½¦»s«~»s³y·~","220¶ì½¦»s«~",NA,NA,NA
"®ç¶é¥«·¨±ö°Ï°ª¤s¨½¥®¤G¸ô¢°¸¹¤Î¢°¤§¢°¸¹","ÓT¦¨ºñ¯à¬ì§ÞªÑ¥÷¦³­­¤½¥q","99717813",NA,"®ç¶é¥«·¨±ö°Ï°ª¤s¨½¥®¤G¸ô¢°¸¹¤Î¢°¤§¢°¸¹","®ç¶é¥«·¨±ö°Ï°ª¤s¨½","¥j·ç¦¨",25004307,"ªÑ¥÷¦³­­¤½¥q",NA,980902,"¥Í²£¤¤","29¾÷±ñ³]³Æ»s³y·~","293³q¥Î¾÷±ñ³]³Æ",NA,NA,NA
"®ç¶é¥«·¨±ö°Ï°ª¤s¨½¥®¤T¸ô¢°¸¹","¤»¤èºë¾÷ªÑ¥÷¦³­­¤½¥q¤@¼t","99687939",NA,"®ç¶é¥«·¨±ö°Ï°ª¤s¨½¥®¤T¸ô¢°¸¹","®ç¶é¥«·¨±ö°Ï°ª¤s¨½","ªL¥¿²±",43847013,"ªÑ¥÷¦³­­¤½¥q",NA,930922,"¥Í²£¤¤","25ª÷ÄÝ»s«~»s³y·~,29¾÷±ñ³]³Æ»s³y·~,30¨T¨®¤Î¨ä¹s¥ó»s³y·~,31¨ä¥L¹B¿é¤u¨ã¤Î¨ä¹s¥ó»s³y·~","254ª÷ÄÝ¥[¤u³B²z,293³q¥Î¾÷±ñ³]³Æ,303¨T¨®¹s¥ó,313¦Û¦æ¨®¤Î¨ä¹s¥ó",NA,NA,NA
"®ç¶é¥«·¨±ö°Ï°ª¤s¨½¥®¤T¸ô¢´¸¹¢°¼Ó","ªFºa¬ì§ÞªÑ¥÷¦³­­¤½¥q","99722672",NA,"®ç¶é¥«·¨±ö°Ï°ª¤s¨½¥®¤T¸ô¢´¸¹¢°¼Ó","®ç¶é¥«·¨±ö°Ï°ª¤s¨½","·¨¸UÂï",11331689,"ªÑ¥÷¦³­­¤½¥q",NA,990928,"¥Í²£¤¤","28¹q¤O³]³Æ»s³y·~","283¹q½u¤Î°t½u¾¹§÷",NA,NA,NA
"®ç¶é¥«·¨±ö°Ï°ª¤s¨½¥®¤­¸ô¤@¤@¸¹","¦P¬w¾÷±ñªÑ¥÷¦³­­¤½¥q·¨±ö¼t","99621862",NA,"®ç¶é¥«·¨±ö°Ï°ª¤s¨½¥®¤­¸ô¤@¤@¸¹","®ç¶é¥«·¨±ö°Ï°ª¤s¨½","§ºÃ¹¬ü¬Ã",84072386,"ªÑ¥÷¦³­­¤½¥q",NA,900905,"¥Í²£¤¤","29¾÷±ñ³]³Æ»s³y·~,30¨T¨®¤Î¨ä¹s¥ó»s³y·~,31¨ä¥L¹B¿é¤u¨ã¤Î¨ä¹s¥ó»s³y·~","293³q¥Î¾÷±ñ³]³Æ,303¨T¨®¹s¥ó,312¾÷¨®¤Î¨ä¹s¥ó","®ç¶é¥«·¨±ö°Ï°ª¤s¨½7¾F¥®¤­¸ô15¸¹","121.169867","24.930381"
"®ç¶é¥«·¨±ö°Ï°ª¤s¨½¥®¥|¸ô1¸¹","¦è¥_»O¼y¬ì§ÞªÑ¥÷¦³­­¤½¥q","99623122",8210000076434,"®ç¶é¥«·¨±ö°Ï°ª¤s¨½¥®¥|¸ô1¸¹","®ç¶é¥«·¨±ö°Ï°ª¤s¨½","ÁÂ©ú¿Î",86978512,"ªÑ¥÷¦³­­¤½¥q",820715,820802,"¥Í²£¤¤","26¹q¤l¹s²Õ¥ó»s³y·~","269¨ä¥L¹q¤l¹s²Õ¥ó",NA,NA,NA
"®ç¶é¥«·¨±ö°Ï°ª¤s¨½¥®·à¸ô¢°¬q¢±¢³¢°¤§¢²¸¹¢°¼Ó","´I¦Ë¬ì§ÞªÑ¥÷¦³­­¤½¥q","99688944",NA,"®ç¶é¥«·¨±ö°Ï°ª¤s¨½¥®·à¸ô¢°¬q¢±¢³¢°¤§¢²¸¹¢°¼Ó","®ç¶é¥«·¨±ö°Ï°ª¤s¨½","ÃQ±X·£",80438790,"ªÑ¥÷¦³­­¤½¥q",NA,950420,"¥Í²£¤¤","29¾÷±ñ³]³Æ»s³y·~","293³q¥Î¾÷±ñ³]³Æ","®ç¶é¥«·¨±ö°Ï°ª¤s¨½8¾F¥®·à¸ô¤G¬q309¸¹","121.168317","24.935895"
"®ç¶é¥«·¨±ö°Ï°ª¤s¨½¥®·à¸ô¢±¬q¢°¸¹","¸Ô¶P¿³·~ªÑ¥÷¦³­­¤½¥q®ç¶é¼t","99621559",8710000900126,"®ç¶é¥«·¨±ö°Ï°ª¤s¨½¥®·à¸ô¢±¬q¢°¸¹","®ç¶é¥«·¨±ö°Ï","¼B²N±l¡@¡@¡@",97401852,"ªÑ¥÷¦³­­¤½¥q",871020,871020,"¥Í²£¤¤","30¨T¨®¤Î¨ä¹s¥ó»s³y·~","303¨T¨®¹s¥ó","®ç¶é¥«·¨±ö°Ï°ª¤s¨½8¾F¥®·à¸ô¤G¬q309¸¹","121.168317","24.935895"
"®ç¶é¥«·¨±ö°Ï°ª¤s¨½¦è°ª¤s³»¤@¤­¤§¤G¸¹","¦¿³®¾÷¹qªÑ¥÷¦³­­¤½¥q·¨±ö¼t","99626742",8110003154198,"®ç¶é¥«·¨±ö°Ï°ª¤s¨½¦è°ª¤s³»¤@¤­¤§¤G¸¹","®ç¶é¥«·¨±ö°Ï°ª¤s¨½","ªL¬üªF¡@¡@¡@",22632590,"ªÑ¥÷¦³­­¤½¥q",810827,820429,"¥Í²£¤¤","29¾÷±ñ³]³Æ»s³y·~","292¨ä¥L±M¥Î¾÷±ñ³]³Æ,293³q¥Î¾÷±ñ³]³Æ","®ç¶é¥«·¨±ö°Ï°ª¤s¨½11¾F¦è°ª¤s³»15¤§2¸¹","121.132334","24.932816"
"®ç¶é¥«·¨±ö°Ï°ª¤s¨½«C¦~¸ô¢±¬q¢²¢±¢¶«Ñ¢±¸¹","±o³Ó¦X¿³·~ªÑ¥÷¦³­­¤½¥q","99706720",NA,"®ç¶é¥«·¨±ö°Ï°ª¤s¨½«C¦~¸ô¢±¬q¢²¢±¢¶«Ñ¢±¸¹","®ç¶é¥«·¨±ö°Ï°ª¤s¨½","¤ý¦¨µo",86835563,"ªÑ¥÷¦³­­¤½¥q",NA,951127,"¥Í²£¤¤","29¾÷±ñ³]³Æ»s³y·~","292¨ä¥L±M¥Î¾÷±ñ³]³Æ,293³q¥Î¾÷±ñ³]³Æ","®ç¶é¥«·¨±ö°Ï°ª¤s¨½8¾F«C¦~¸ô¤G¬q422¸¹","121.161483","24.934604"
"®ç¶é¥«·¨±ö°Ï°ª¤s¨½«C¦~¸ô¢±¸¹¢°¼Ó","¨È´µ¹y¬ì§ÞªÑ¥÷¦³­­¤½¥q","99688398",NA,"®ç¶é¥«·¨±ö°Ï°ª¤s¨½«C¦~¸ô¢±¸¹¢°¼Ó","®ç¶é¥«·¨±ö°Ï°ª¤s¨½","¾GÂE°ò",70831529,"ªÑ¥÷¦³­­¤½¥q",NA,940530,"¥Í²£¤¤","26¹q¤l¹s²Õ¥ó»s³y·~,27¹q¸£¡B¹q¤l²£«~¤Î¥ú¾Ç»s«~»s³y·~,28¹q¤O³]³Æ»s³y·~,29¾÷±ñ³]³Æ»s³y·~","264¥ú¹q§÷®Æ¤Î¤¸¥ó,269¨ä¥L¹q¤l¹s²Õ¥ó,271¹q¸£¤Î¨ä¶gÃä³]³Æ,283¹q½u¤Î°t½u¾¹§÷,289¨ä¥L¹q¤O³]³Æ,293³q¥Î¾÷±ñ³]³Æ","®ç¶é¥«·¨±ö°Ï°ª¤s¨½8¾F«C¦~¸ô¤G¬q422¸¹","121.161483","24.934604"
"®ç¶é¥«·¨±ö°Ï°ª¤s¨½«C¦~¸ô¢´¤§¢±¸¹¢°¼Ó","­^¯S©ú¥ú¯àªÑ¥÷¦³­­¤½¥q","99707141",NA,"®ç¶é¥«·¨±ö°Ï°ª¤s¨½«C¦~¸ô¢´¤§¢±¸¹¢°¼Ó","®ç¶é¥«·¨±ö°Ï°ª¤s¨½","¾G¤l²N",28736447,"ªÑ¥÷¦³­­¤½¥q",NA,960731,"¥Í²£¤¤","26¹q¤l¹s²Õ¥ó»s³y·~","264¥ú¹q§÷®Æ¤Î¤¸¥ó","®ç¶é¥«·¨±ö°Ï°ª¤s¨½8¾F«C¦~¸ô¤G¬q422¸¹","121.161483","24.934604"
"®ç¶é¥«·¨±ö°Ï°ª¤s¨½«C¦~¸ô¢´¤§¢±¸¹¢°¼Ó","±R½å°ê»Ú¿³·~ªÑ¥÷¦³­­¤½¥q","99707259",NA,"®ç¶é¥«·¨±ö°Ï°ª¤s¨½«C¦~¸ô¢´¤§¢±¸¹¢°¼Ó","®ç¶é¥«·¨±ö°Ï°ª¤s¨½","´^ª÷¿õ",47102984,"ªÑ¥÷¦³­­¤½¥q",NA,961009,"¥Í²£¤¤","19¤Æ¾Ç»s«~»s³y·~","199¨ä¥L¤Æ¾Ç»s«~","®ç¶é¥«·¨±ö°Ï°ª¤s¨½8¾F«C¦~¸ô¤G¬q422¸¹","121.161483","24.934604"
"®ç¶é¥«·¨±ö°Ï°ª¤s¨½«C¦~¸ô6¸¹2¼Ó","¨Îºa¯à·½¬ì§ÞªÑ¥÷¦³­­¤½¥q","68000287",NA,"®ç¶é¥«·¨±ö°Ï°ª¤s¨½«C¦~¸ô6¸¹2¼Ó","®ç¶é¥«·¨±ö°Ï°ª¤s¨½","¶Àªø¤t",80120999,"ªÑ¥÷¦³­­¤½¥q",NA,1040915,"¥Í²£¤¤","28¹q¤O³]³Æ»s³y·~","284·Ó©ú³]³Æ","®ç¶é¥«·¨±ö°Ï°ª¤s¨½8¾F«C¦~¸ô¤G¬q422¸¹","121.161483","24.934604"
"®ç¶é¥«·¨±ö°Ï°ª¤s¨½«C¦~¸ô7¸¹","¶i¨å¤u·~ªÑ¥÷¦³­­¤½¥q¥®¤G¼t","68000254",NA,"®ç¶é¥«·¨±ö°Ï°ª¤s¨½«C¦~¸ô7¸¹","®ç¶é¥«·¨±ö°Ï°ª¤s¨½","­S¶¶¥Ð",35924015,"ªÑ¥÷¦³­­¤½¥q",NA,1040824,"¥Í²£¤¤","25ª÷ÄÝ»s«~»s³y·~,29¾÷±ñ³]³Æ»s³y·~","259¨ä¥Lª÷ÄÝ»s«~,292¨ä¥L±M¥Î¾÷±ñ³]³Æ,293³q¥Î¾÷±ñ³]³Æ","®ç¶é¥«·¨±ö°Ï°ª¤s¨½8¾F«C¦~¸ô¤G¬q422¸¹","121.161483","24.934604"
"®ç¶é¥«·¨±ö°Ï°ª¤s¨½«C¦~¸ô¢¸¸¹","·s°O¥ø·~ªÑ¥÷¦³­­¤½¥q®H¤ß¼t","99621518",6110000006175,"®ç¶é¥«·¨±ö°Ï°ª¤s¨½«C¦~¸ô¢¸¸¹","®ç¶é¥«·¨±ö°Ï","¹ù³Ó°ê¡@¡@¡@",4560757,"ªÑ¥÷¦³­­¤½¥q",580101,641110,"¥Í²£¤¤","22¶ì½¦»s«~»s³y·~","220¶ì½¦»s«~","®ç¶é¥«·¨±ö°Ï°ª¤s¨½8¾F«C¦~¸ô¤G¬q422¸¹","121.161483","24.934604"
"®ç¶é¥«·¨±ö°Ï°ª¤s¨½«C¦~¸ô¤E«Ñ¤@¸¹","³¢¤¸¯q­¹«~ªÑ¥÷¦³­­¤½¥q·¨±ö¼t","99622970",7810000318415,"®ç¶é¥«·¨±ö°Ï°ª¤s¨½«C¦~¸ô¤E«Ñ¤@¸¹","®ç¶é¥«·¨±ö°Ï°ª¤s¨½","³¯©ú¨q¡@",31264218,"ªÑ¥÷¦³­­¤½¥q",781209,811207,"¥Í²£¤¤","08­¹«~»s³y·~","089¨ä¥L­¹«~","®ç¶é¥«·¨±ö°Ï°ª¤s¨½7¾F«C¦~¸ô9«Ñ15¸¹","121.167181","24.928720"
"®ç¶é¥«·¨±ö°Ï°ª¤s¨½«C¦~¸ô¤G¬q301«Ñ170¸¹","¼W¿³¹ê·~¦³­­¤½¥q","68000157",NA,"®ç¶é¥«·¨±ö°Ï°ª¤s¨½«C¦~¸ô¤G¬q301«Ñ170¸¹","®ç¶é¥«·¨±ö°Ï°ª¤s¨½","³¯¼W¼w",54005376,"¦³­­¤½¥q",NA,1040626,"¥Í²£¤¤","25ª÷ÄÝ»s«~»s³y·~","254ª÷ÄÝ¥[¤u³B²z",NA,NA,NA
"®ç¶é¥«·¨±ö°Ï°ª¤s¨½«C¦~¸ô¤G¬q¤G¤T¤E¸¹","¯S¤OªÑ¥÷¦³­­¤½¥q·¨±ö¼t","99624735",8410000207843,"®ç¶é¥«·¨±ö°Ï°ª¤s¨½«C¦~¸ô¤G¬q¤G¤T¤E¸¹","®ç¶é¥«·¨±ö°Ï°ª¤s¨½","§õÄR¬î¡@¡@¡@",20795246,"ªÑ¥÷¦³­­¤½¥q",840711,860917,"¥Í²£¤¤","22¶ì½¦»s«~»s³y·~,25ª÷ÄÝ»s«~»s³y·~,28¹q¤O³]³Æ»s³y·~","220¶ì½¦»s«~,251ª÷ÄÝ¤â¤u¨ã¤Î¼Ò¨ã,252ª÷ÄÝµ²ºc¤Î«Ø¿v²Õ¥ó,284·Ó©ú³]³Æ","®ç¶é¥«·¨±ö°Ï°ª¤s¨½8¾F«C¦~¸ô¤G¬q422¸¹","121.161483","24.934604"
"®ç¶é¥«·¨±ö°Ï°ª¤s¨½«C¦~¸ô¤G¬q¤T¤G¤E«Ñ¤@¤»¸¹","¾c¼Ó¤u·~¦³­­¤½¥q","99686531",7510003171664,"®ç¶é¥«·¨±ö°Ï°ª¤s¨½«C¦~¸ô¤G¬q¤T¤G¤E«Ñ¤@¤»¸¹","®ç¶é¥«·¨±ö°Ï°ª¤s¨½","³Å¶Q«®¡@¡@¡@",22402274,"¦³­­¤½¥q",751229,760511,"¥Í²£¤¤","13¥Ö­²¡B¤ò¥Ö¤Î¨ä»s«~»s³y·~","130¥Ö­²¡B¤ò¥Ö¤Î¨ä»s«~","®ç¶é¥«·¨±ö°Ï°ª¤s¨½8¾F«C¦~¸ô¤G¬q422¸¹","121.161483","24.934604"
"®ç¶é¥«·¨±ö°Ï°ª¤s¨½«C¦~¸ô¤»¤§¤G¸¹","¥þ­·¾÷¹qªÑ¥÷¦³­­¤½¥q·¨±ö¼t","99623794",NA,"®ç¶é¥«·¨±ö°Ï°ª¤s¨½«C¦~¸ô¤»¤§¤G¸¹","®ç¶é¥«·¨±ö°Ï","ÁÂ´°¤å",33724553,"ªÑ¥÷¦³­­¤½¥q",NA,910327,"¥Í²£¤¤","28¹q¤O³]³Æ»s³y·~,29¾÷±ñ³]³Æ»s³y·~,32®a¨ã»s³y·~","289¨ä¥L¹q¤O³]³Æ,293³q¥Î¾÷±ñ³]³Æ,322ª÷ÄÝ®a¨ã","®ç¶é¥«·¨±ö°Ï°ª¤s¨½8¾F«C¦~¸ô¤G¬q422¸¹","121.161483","24.934604"
"®ç¶é¥«·¨±ö°Ï°ª¤s¨½«C¦~¸ô¥|¸¹","§»°òºë±K¤u·~ªÑ¥÷¦³­­¤½¥q¥®·à¼t","99687647",NA,"®ç¶é¥«·¨±ö°Ï°ª¤s¨½«C¦~¸ô¥|¸¹","®ç¶é¥«·¨±ö°Ï°ª¤s¨½","¶À®¶©[",23074377,"ªÑ¥÷¦³­­¤½¥q",NA,930507,"¥Í²£¤¤","29¾÷±ñ³]³Æ»s³y·~","293³q¥Î¾÷±ñ³]³Æ","®ç¶é¥«·¨±ö°Ï°ª¤s¨½8¾F«C¦~¸ô¤G¬q422¸¹","121.161483","24.934604"
"®ç¶é¥«·¨±ö°Ï°ª¤s¨½°ª¤W¸ô¤@¬q151«Ñ43¸¹","«C±á¥ø·~¦³­­¤½¥q","99625947",8310003065827,"®ç¶é¥«·¨±ö°Ï°ª¤s¨½°ª¤W¸ô¤@¬q151«Ñ43¸¹","®ç¶é¥«·¨±ö°Ï°ª¤s¨½","®}¤d¯ô¡@¡@¡@",86673981,"¦³­­¤½¥q",830705,830715,"¥Í²£¤¤","25ª÷ÄÝ»s«~»s³y·~,33¨ä¥L»s³y·~","252ª÷ÄÝµ²ºc¤Î«Ø¿v²Õ¥ó,331¨|¼Ö¥Î«~","®ç¶é¥«·¨±ö°Ï°ª¤s¨½9¾F°ª¤W¸ô¤@¬q151«Ñ43¸¹","121.160781","24.937722"
"®ç¶é¥«·¨±ö°Ï°ª¤s¨½°ª¥­¸ô¢¸¢¯¡B¢¸¢µ¸¹","©|»õ¹F¾T·~ªÑ¥÷¦³­­¤½¥q","99627353",8710003268005,"®ç¶é¥«·¨±ö°Ï°ª¤s¨½°ª¥­¸ô¢¸¢¯¡B¢¸¢µ¸¹","®ç¶é¥«·¨±ö°Ï°ª¤s¨½","ÃQÄRµØ¡@¡@¡@",16524278,"ªÑ¥÷¦³­­¤½¥q",870819,880705,"¥Í²£¤¤","24°ò¥»ª÷ÄÝ»s³y·~,25ª÷ÄÝ»s«~»s³y·~","242¾T,252ª÷ÄÝµ²ºc¤Î«Ø¿v²Õ¥ó","®ç¶é¥«·¨±ö°Ï°ª¤s¨½18¾F°ª¥­¸ô100¤§1¸¹","121.141567","24.937428"
"®ç¶é¥«·¨±ö°Ï°ª¤s¨½°ª«C¸ô¢°¢¯«Ñ¢°¢¯¸¹","«³øÊ¦³­­¤½¥q","99688457",NA,"®ç¶é¥«·¨±ö°Ï°ª¤s¨½°ª«C¸ô¢°¢¯«Ñ¢°¢¯¸¹","®ç¶é¥«·¨±ö°Ï°ª¤s¨½","¼B²MµØ",27783272,"¦³­­¤½¥q",NA,940703,"¥Í²£¤¤","22¶ì½¦»s«~»s³y·~,29¾÷±ñ³]³Æ»s³y·~","220¶ì½¦»s«~,293³q¥Î¾÷±ñ³]³Æ",NA,NA,NA
"®ç¶é¥«·¨±ö°Ï°ª¤s¨½°ª«C¸ô¢°¢¯«Ñ¢°¢±¸¹","»E°¥¹ê·~ªÑ¥÷¦³­­¤½¥q·¨±ö¼t","99626344",8410000208664,"®ç¶é¥«·¨±ö°Ï°ª¤s¨½°ª«C¸ô¢°¢¯«Ñ¢°¢±¸¹","®ç¶é¥«·¨±ö°Ï°ª¤s¨½","³¯¥K­õ¡@¡@¡@",22156126,"ªÑ¥÷¦³­­¤½¥q",840728,850606,"¥Í²£¤¤","22¶ì½¦»s«~»s³y·~","220¶ì½¦»s«~",NA,NA,NA
"®ç¶é¥«·¨±ö°Ï°ª¤s¨½°ª«C¸ô¢°¢¯«Ñ¢¶¸¹","­»´ä°Ó¦°½Y¹q¤lªÑ¥÷¦³­­¤½¥q¥xÆW¤À¤½¥q","99706847",NA,"®ç¶é¥«·¨±ö°Ï°ª¤s¨½°ª«C¸ô¢°¢¯«Ñ¢¶¸¹","®ç¶é¥«·¨±ö°Ï°ª¤s¨½","¹ù¤åªÚ",27950708,"ªÑ¥÷¦³­­¤½¥q",NA,960215,"¥Í²£¤¤","22¶ì½¦»s«~»s³y·~,26¹q¤l¹s²Õ¥ó»s³y·~","220¶ì½¦»s«~,269¨ä¥L¹q¤l¹s²Õ¥ó",NA,NA,NA
"®ç¶é¥«·¨±ö°Ï°ª¤s¨½°ª«C¸ô16¸¹","©_»Ê¸t¬ì§ÞªÑ¥÷¦³­­¤½¥q·¨±ö¼t","03000422",NA,"®ç¶é¥«·¨±ö°Ï°ª¤s¨½°ª«C¸ô16¸¹","®ç¶é¥«·¨±ö°Ï°ª¤s¨½","±ç°ê«Â",70624394,"ªÑ¥÷¦³­­¤½¥q",NA,1000523,"¥Í²£¤¤","25ª÷ÄÝ»s«~»s³y·~","259¨ä¥Lª÷ÄÝ»s«~",NA,NA,NA
"®ç¶é¥«·¨±ö°Ï°ª¤s¨½°ª«C¸ô¢±¢±«Ñ¢°¢µ¸¹","¿[­ì¬ì§ÞªÑ¥÷¦³­­¤½¥q","99707644",NA,"®ç¶é¥«·¨±ö°Ï°ª¤s¨½°ª«C¸ô¢±¢±«Ñ¢°¢µ¸¹","®ç¶é¥«·¨±ö°Ï°ª¤s¨½","«J«¶¥þ",16964727,"ªÑ¥÷¦³­­¤½¥q",NA,970605,"¥Í²£¤¤","27¹q¸£¡B¹q¤l²£«~¤Î¥ú¾Ç»s«~»s³y·~","272³q°T¶Ç¼½³]³Æ",NA,NA,NA
"®ç¶é¥«·¨±ö°Ï°ª¤s¨½°ª«C¸ô¢±¢±«Ñ¢±¢¯¸¹","³Í¼Ö¤hªÑ¥÷¦³­­¤½¥q","99687956",NA,"®ç¶é¥«·¨±ö°Ï°ª¤s¨½°ª«C¸ô¢±¢±«Ñ¢±¢¯¸¹","®ç¶é¥«·¨±ö°Ï°ª¤s¨½","ªL³Õ¤å",97285827,"ªÑ¥÷¦³­­¤½¥q",NA,930929,"¥Í²£¤¤","23«Dª÷ÄÝÄqª«»s«~»s³y·~,27¹q¸£¡B¹q¤l²£«~¤Î¥ú¾Ç»s«~»s³y·~","232­@¤õ¡BÂH¤g«Ø¿v§÷®Æ¤Î³³²¡»s«~,275¶q´ú¡B¾É¯è¡B±±¨î³]³Æ¤ÎÄÁ¿ö",NA,NA,NA
"®ç¶é¥«·¨±ö°Ï°ª¤s¨½°ª«C¸ô¢±¢±«Ñ¢±¢±¸¹","¨KÀs¹q¤l¦³­­¤½¥q","99688629",NA,"®ç¶é¥«·¨±ö°Ï°ª¤s¨½°ª«C¸ô¢±¢±«Ñ¢±¢±¸¹","®ç¶é¥«·¨±ö°Ï°ª¤s¨½","Ã¹®Ë´¸",27451689,"¦³­­¤½¥q",NA,941012,"¥Í²£¤¤","26¹q¤l¹s²Õ¥ó»s³y·~","263¦L¨ê¹q¸ôªO",NA,NA,NA
